"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","198","Should return 404 for incorrect endpoint","webkit","Fri Mar 28 10:03:17 AEST 2025","passed","Fri Mar 28 10:03:18 AEST 2025","GET /api/productsList - All Products API","","",""
"","1135","Should delete acount with /api/deleteAccount","chromium","Fri Mar 28 10:03:10 AEST 2025","passed","Fri Mar 28 10:03:11 AEST 2025","","","",""
"","208","Login with empty email field","chromium","Fri Mar 28 10:03:11 AEST 2025","passed","Fri Mar 28 10:03:11 AEST 2025","","","",""
"","210","Should create account with valid data","chromium","Fri Mar 28 10:03:11 AEST 2025","passed","Fri Mar 28 10:03:11 AEST 2025","Create Account - Positive and Negative Scenarios","","",""
"","204","Should return 400 or error message with invalid crednetials","chromium","Fri Mar 28 10:03:11 AEST 2025","passed","Fri Mar 28 10:03:11 AEST 2025","","","",""
"","202","Login with DELETE method to /api/verifyLogin","firefox","Fri Mar 28 10:03:14 AEST 2025","passed","Fri Mar 28 10:03:14 AEST 2025","","","",""
"","1120","Should return response in under 2 seconds","chromium","Fri Mar 28 10:03:10 AEST 2025","passed","Fri Mar 28 10:03:11 AEST 2025","","","",""
"","263","Should fail when email is missing","firefox","Fri Mar 28 10:03:13 AEST 2025","passed","Fri Mar 28 10:03:13 AEST 2025","","","",""
"","243","Should return 200 and a non-empty list of products","firefox","Fri Mar 28 10:03:14 AEST 2025","passed","Fri Mar 28 10:03:15 AEST 2025","GET /api/productsList - All Products API","","",""
"","206","Should return 405 when using POST on /productsList (method not allowed)","firefox","Fri Mar 28 10:03:15 AEST 2025","passed","Fri Mar 28 10:03:15 AEST 2025","GET /api/productsList - All Products API","","",""
"","210","Should fail with existing email","firefox","Fri Mar 28 10:03:14 AEST 2025","passed","Fri Mar 28 10:03:14 AEST 2025","Create Account - Positive and Negative Scenarios","","",""
"","197","Should return method not allowed when using POST","chromium","Fri Mar 28 10:03:11 AEST 2025","passed","Fri Mar 28 10:03:12 AEST 2025","GET /api/brandsList - All Brands API","","",""
"","920","Login with valid credentials","chromium","Fri Mar 28 10:03:10 AEST 2025","passed","Fri Mar 28 10:03:11 AEST 2025","","","",""
"","199","Should contain a known brand (e.g. Polo)","chromium","Fri Mar 28 10:03:11 AEST 2025","passed","Fri Mar 28 10:03:12 AEST 2025","GET /api/brandsList - All Brands API","","",""
"","473","Should delete acount with /api/deleteAccount","webkit","Fri Mar 28 10:03:16 AEST 2025","passed","Fri Mar 28 10:03:16 AEST 2025","","","",""
"","252","Login with valid credentials","webkit","Fri Mar 28 10:03:16 AEST 2025","passed","Fri Mar 28 10:03:16 AEST 2025","","","",""
"","195","Should return error when search_produuct is missing","firefox","Fri Mar 28 10:03:15 AEST 2025","passed","Fri Mar 28 10:03:15 AEST 2025","POST /api/searchProduct -Product Search API","","",""
"","203","Login with DELETE method to /api/verifyLogin","chromium","Fri Mar 28 10:03:11 AEST 2025","passed","Fri Mar 28 10:03:11 AEST 2025","","","",""
